id,name,url,stars,forks,primary_language,repo_created,first_agent_adopted_at,agent_adopt_month,agent_adopt_week,num_agent_prs,num_prs,num_human_prs,num_bot_prs,agent_prs_per_month,human_prs_per_month,bot_prs_per_month,total_prs_per_month
460077424,PaloAltoNetworks/docusaurus-openapi-docs,https://github.com/PaloAltoNetworks/docusaurus-openapi-docs,937.0,283.0,TypeScript,2022-02-16T16:06:40Z,2025-06-12 23:04:38+00:00,2025-06,2025-W23,33,280,228.0,19.0,"{'2025-06': 16, '2025-07': 13, '2025-08': 3, '2025-09': 1}","{'2024-01': 13, '2024-02': 4, '2024-03': 33, '2024-04': 5, '2024-05': 8, '2024-06': 14, '2024-07': 23, '2024-08': 15, '2024-09': 15, '2024-10': 12, '2024-11': 7, '2024-12': 11, '2025-01': 9, '2025-02': 10, '2025-03': 7, '2025-04': 4, '2025-05': 10, '2025-06': 7, '2025-07': 9, '2025-08': 4, '2025-09': 1, '2025-10': 2, '2025-11': 5}","{'2024-01': 1, '2024-02': 1, '2024-03': 3, '2024-04': 1, '2024-05': 1, '2024-06': 2, '2024-08': 2, '2024-09': 2, '2024-10': 1, '2025-03': 1, '2025-04': 2, '2025-10': 1, '2025-11': 1}","{'2024-01': 14, '2024-02': 5, '2024-03': 36, '2024-04': 6, '2024-05': 9, '2024-06': 16, '2024-07': 23, '2024-08': 17, '2024-09': 17, '2024-10': 13, '2024-11': 7, '2024-12': 11, '2025-01': 9, '2025-02': 10, '2025-03': 8, '2025-04': 6, '2025-05': 10, '2025-06': 23, '2025-07': 22, '2025-08': 7, '2025-09': 2, '2025-10': 3, '2025-11': 6}"
895926919,microsoft/poml,https://github.com/microsoft/poml,24.0,6.0,TypeScript,2024-11-29T07:43:56Z,2025-06-19 08:02:25+00:00,2025-06,2025-W24,61,153,68.0,24.0,"{'2025-06': 13, '2025-07': 17, '2025-08': 24, '2025-09': 5, '2025-10': 2}","{'2025-04': 1, '2025-05': 1, '2025-06': 10, '2025-07': 12, '2025-08': 38, '2025-09': 4, '2025-10': 2}","{'2025-04': 6, '2025-05': 1, '2025-06': 2, '2025-07': 2, '2025-08': 1, '2025-09': 2, '2025-10': 5, '2025-11': 5}","{'2025-04': 7, '2025-05': 2, '2025-06': 25, '2025-07': 31, '2025-08': 63, '2025-09': 11, '2025-10': 9, '2025-11': 5}"
996054384,Shaurya-Sethi/transqlate,https://github.com/Shaurya-Sethi/transqlate,22.0,0.0,Python,2025-06-04T11:46:37Z,2025-06-04 12:18:30+00:00,2025-06,2025-W22,56,56,,,"{'2025-06': 53, '2025-07': 3}",{},{},"{'2025-06': 53, '2025-07': 3}"
29506049,nirum/jetplot,https://github.com/nirum/jetplot,19.0,6.0,Python,2015-01-20T01:40:29Z,2025-05-17 18:07:24+00:00,2025-05,2025-W19,12,19,7.0,,{'2025-05': 12},"{'2025-05': 6, '2025-10': 1}",{},"{'2025-05': 18, '2025-10': 1}"
497657661,jgoos/home-lab-as-code,https://github.com/jgoos/home-lab-as-code,14.0,2.0,HCL,2022-05-29T17:15:04Z,2025-05-17 18:09:30+00:00,2025-05,2025-W19,19,33,14.0,,{'2025-05': 19},{'2025-05': 14},{},{'2025-05': 33}
720999772,elixr-games/elics,https://github.com/elixr-games/elics,228.0,22.0,TypeScript,2023-11-20T06:32:38Z,2025-05-20 06:55:52+00:00,2025-05,2025-W20,32,157,11.0,114.0,{'2025-05': 32},"{'2024-11': 1, '2025-05': 9, '2025-08': 1}","{'2025-05': 13, '2025-06': 31, '2025-07': 14, '2025-08': 17, '2025-09': 19, '2025-10': 19, '2025-11': 1}","{'2024-11': 1, '2025-05': 54, '2025-06': 31, '2025-07': 14, '2025-08': 18, '2025-09': 19, '2025-10': 19, '2025-11': 1}"
587050620,stanfordnlp/dspy,https://github.com/stanfordnlp/dspy,26818.0,2071.0,Python,2023-01-09T21:01:51Z,2025-05-17 17:51:33+00:00,2025-05,2025-W19,41,1764,1723.0,,"{'2025-05': 5, '2025-06': 5, '2025-07': 1, '2025-08': 12, '2025-09': 1, '2025-10': 12, '2025-11': 5}","{'2024-01': 35, '2024-02': 97, '2024-03': 132, '2024-04': 92, '2024-05': 69, '2024-06': 54, '2024-07': 40, '2024-08': 41, '2024-09': 64, '2024-10': 106, '2024-11': 90, '2024-12': 77, '2025-01': 48, '2025-02': 68, '2025-03': 90, '2025-04': 72, '2025-05': 101, '2025-06': 124, '2025-07': 68, '2025-08': 83, '2025-09': 67, '2025-10': 64, '2025-11': 41}",{},"{'2024-01': 35, '2024-02': 97, '2024-03': 132, '2024-04': 92, '2024-05': 69, '2024-06': 54, '2024-07': 40, '2024-08': 41, '2024-09': 64, '2024-10': 106, '2024-11': 90, '2024-12': 77, '2025-01': 48, '2025-02': 68, '2025-03': 90, '2025-04': 72, '2025-05': 106, '2025-06': 129, '2025-07': 69, '2025-08': 95, '2025-09': 68, '2025-10': 76, '2025-11': 46}"
927495270,avalan-ai/avalan,https://github.com/avalan-ai/avalan,20.0,4.0,Python,2025-02-05T03:41:58Z,2025-05-20 21:36:03+00:00,2025-05,2025-W20,32,883,831.0,20.0,{'2025-05': 32},"{'2025-05': 107, '2025-06': 145, '2025-07': 236, '2025-08': 90, '2025-09': 179, '2025-10': 69, '2025-11': 5}","{'2025-07': 8, '2025-08': 6, '2025-09': 4, '2025-10': 2}","{'2025-05': 139, '2025-06': 145, '2025-07': 244, '2025-08': 96, '2025-09': 183, '2025-10': 71, '2025-11': 5}"
946178371,OpenPipe/ART,https://github.com/OpenPipe/ART,4108.0,256.0,Python,2025-03-10T18:25:47Z,2025-05-20 21:43:50+00:00,2025-05,2025-W20,11,360,343.0,6.0,"{'2025-05': 2, '2025-06': 8, '2025-09': 1}","{'2025-03': 7, '2025-04': 74, '2025-05': 41, '2025-06': 21, '2025-07': 78, '2025-08': 76, '2025-09': 16, '2025-10': 17, '2025-11': 13}","{'2025-08': 2, '2025-10': 3, '2025-11': 1}","{'2025-03': 7, '2025-04': 74, '2025-05': 43, '2025-06': 29, '2025-07': 78, '2025-08': 78, '2025-09': 17, '2025-10': 20, '2025-11': 14}"
50623416,parse-community/parse-dashboard,https://github.com/parse-community/parse-dashboard,3773.0,1402.0,JavaScript,2016-01-29T00:00:00Z,2025-07-07 01:03:44+00:00,2025-07,2025-W27,44,429,204.0,181.0,"{'2025-07': 43, '2025-11': 1}","{'2024-02': 5, '2024-03': 5, '2024-04': 8, '2024-05': 8, '2024-06': 3, '2024-07': 3, '2024-08': 1, '2024-09': 6, '2024-10': 11, '2024-11': 1, '2024-12': 1, '2025-01': 4, '2025-02': 7, '2025-03': 22, '2025-04': 22, '2025-05': 12, '2025-06': 7, '2025-07': 32, '2025-08': 7, '2025-09': 7, '2025-10': 21, '2025-11': 11}","{'2024-05': 5, '2024-06': 2, '2024-07': 1, '2024-08': 2, '2024-09': 3, '2024-10': 4, '2024-11': 1, '2024-12': 1, '2025-03': 25, '2025-04': 40, '2025-05': 42, '2025-06': 18, '2025-07': 18, '2025-08': 6, '2025-09': 5, '2025-10': 4, '2025-11': 4}","{'2024-02': 5, '2024-03': 5, '2024-04': 8, '2024-05': 13, '2024-06': 5, '2024-07': 4, '2024-08': 3, '2024-09': 9, '2024-10': 15, '2024-11': 2, '2024-12': 2, '2025-01': 4, '2025-02': 7, '2025-03': 47, '2025-04': 62, '2025-05': 54, '2025-06': 25, '2025-07': 93, '2025-08': 13, '2025-09': 12, '2025-10': 25, '2025-11': 16}"
642965459,alchemyplatform/aa-sdk,https://github.com/alchemyplatform/aa-sdk,270.0,177.0,TypeScript,2023-05-19T18:57:41Z,2025-06-30 22:03:08+00:00,2025-06,2025-W26,22,1747,1722.0,3.0,"{'2025-06': 1, '2025-07': 11, '2025-08': 5, '2025-10': 4, '2025-11': 1}","{'2024-01': 54, '2024-02': 90, '2024-03': 38, '2024-04': 94, '2024-05': 51, '2024-06': 87, '2024-07': 53, '2024-08': 40, '2024-09': 42, '2024-10': 110, '2024-11': 55, '2024-12': 69, '2025-01': 58, '2025-02': 76, '2025-03': 89, '2025-04': 72, '2025-05': 71, '2025-06': 91, '2025-07': 72, '2025-08': 129, '2025-09': 168, '2025-10': 70, '2025-11': 43}","{'2025-05': 2, '2025-09': 1}","{'2024-01': 54, '2024-02': 90, '2024-03': 38, '2024-04': 94, '2024-05': 51, '2024-06': 87, '2024-07': 53, '2024-08': 40, '2024-09': 42, '2024-10': 110, '2024-11': 55, '2024-12': 69, '2025-01': 58, '2025-02': 76, '2025-03': 89, '2025-04': 72, '2025-05': 73, '2025-06': 92, '2025-07': 83, '2025-08': 134, '2025-09': 169, '2025-10': 74, '2025-11': 44}"
323441547,mligtenberg/ServicebusBrowser,https://github.com/mligtenberg/ServicebusBrowser,14.0,1.0,TypeScript,2020-12-21T20:32:32Z,2025-06-04 21:12:29+00:00,2025-06,2025-W22,19,24,1.0,4.0,{'2025-06': 19},{'2025-06': 1},"{'2025-09': 2, '2025-11': 2}","{'2025-06': 20, '2025-09': 2, '2025-11': 2}"
308783407,vanities/swiftchan,https://github.com/vanities/swiftchan,24.0,0.0,Swift,2020-10-31T01:53:11Z,2025-06-06 16:30:24+00:00,2025-06,2025-W22,13,16,3.0,,"{'2025-06': 10, '2025-07': 3}",{'2025-07': 3},{},"{'2025-06': 10, '2025-07': 6}"
421820611,OpenHFT/Chronicle-Test-Framework,https://github.com/OpenHFT/Chronicle-Test-Framework,26.0,4.0,Java,2021-10-27T13:02:33Z,2025-05-25 13:27:00+00:00,2025-05,2025-W20,69,93,24.0,,{'2025-05': 69},"{'2024-01': 3, '2024-02': 3, '2024-03': 1, '2024-04': 1, '2024-05': 1, '2024-06': 2, '2024-07': 1, '2024-10': 1, '2024-11': 4, '2025-05': 1, '2025-07': 3, '2025-08': 1, '2025-10': 1, '2025-11': 1}",{},"{'2024-01': 3, '2024-02': 3, '2024-03': 1, '2024-04': 1, '2024-05': 1, '2024-06': 2, '2024-07': 1, '2024-10': 1, '2024-11': 4, '2025-05': 70, '2025-07': 3, '2025-08': 1, '2025-10': 1, '2025-11': 1}"
