repo_name,maturity_level
commaai/opendbc,1
commaai/panda,1
commontoolsinc/labs,4
cortesi/canopy,2
crewAIInc/crewAI-tools,1
cuckoo-network/cuckoo,1
cybersemics/em,2
dagster-io/dagster,4
daniel-hauser/moneyman,2
danielpaul/RapidRails,1
dave1010/ceo-bench,4
dbeley/nixos-config,2
dbish/DispatchMail,1
dcocchia/Ity,1
defendicon/POS-Awesome-V15,2
demergent-labs/azle,2
dewgenenny/rtl_433_discoverandsubmit,1
dhis2/capture-app,1
diegozea/MIToS.jl,2
divanvisagie/chat-gipitty,1
doggy8088/gemini-tts-cli,2
dohyeondk/sub-tools,2
dotabod/frontend,4
dotnet/android,2
dotnet/android-libraries,2
dotnet/arcade-services,2
dotnet/aspire,3
dotnet/aspnetcore,3
dotnet/docs,1
dotnet/maui,4
dotnet/msbuild,2
dowhiledev/nomos,2
dreamteamprod/DigiScript,1
dropseed/plain,2
dust-tt/dust,2
econ-ark/HARK,1
edwin-finance/edwin,1
effekseer/Effekseer,1
elgentos/magento2-playwright,2
elixir-lsp/elixir_sense,1
elixr-games/elics,1
elizaOS/eliza,1
elsa-workflows/elsa-core,4
elsa-workflows/elsa-extensions,1
ensdomains/ens-app-v3,3
enviodev/docs,1
eph/pyvar,1
epicweb-dev/epicshop,2
eplatonoff/pilorama,1
equalizedigital/accessibility-checker,3
esnya/ResoniteMetricsCounter,1
estruyf/vscode-demo-time,2
evandempsey/fp-growth,2
evstack/ev-node,4
ezyang/scubaduck,2
featureform/enrichmcp,2
formax68/memoChron,1
forntoh/LcdMenu,1
functionalscript/functionalscript,2
fw-ai-external/reward-kit,1
gadget-inc/mobx-quick-tree,1
gensx-inc/gensx,2
geoff-maddock/events-tracker,1
geph-official/geph5,1
getsentry/sentry,3
getsentry/sentry-mcp,3
ggaabe/rrule-temporal,1
giselles-ai/giselle,4
glasgowcompbio/vimms,1
gleanwork/mcp-server,2
gluesql/glues,2
gluesql/gluesql,2
go-analyze/charts,1
goat-sdk/goat,2
gofiber/cli,2
gofiber/fiber,2
gojiplus/tuber,2
gridaco/grida,2
guyleonard/genomics_adventure,1
h-sumiya/iwrqk,1
halilozel1903/AndroidTVMovieParadise,1
helenapaixao/vagasExplorer,1
herbie-fp/herbie,2
hyperlight-dev/hyperlight,2
ikamensh/flynt,2
imgntn/jBow,1
indunet/fastproto,1
invokable/google-sheets-project,2
invoke-ai/InvokeAI,2
irislib/iris-client,2
ivanfioravanti/wine_variety_classification,1
j5ik2o/rust-fp,1
jackfirth/resyntax,2
janbjorge/pgqueuer,2
jasielmacedo/steam-microtransaction-api,1
jdereg/java-util,2
jeonghoonkang/BerePi,1
jgoos/home-lab-as-code,2
jhacksman/OpenSCAD-MCP-Server,1
jhhtaylor/tabstronaut,1
jina-ai/deepsearch-ui,1
jkroepke/openvpn-auth-oauth2,2
joamag/boytacean,2
joaquimorg/UV-KX,1
joewandy/hlda,1
johnpaulett/python-hl7,1
jonaraphael/csv,2
jonhadfield/gosn-v2,1
jonhadfield/soba,1
joshuadanpeterson/enhanced-dash-mcp,2
joshuadanpeterson/typewriter.nvim,2
joshuafuller/ATAK-Maps,1
jrucho/YTbeatmakercues,1
jscarle/LightResults,2
julep-ai/julep,1
justiceo/spectest,1
katspaugh/wavesurfer.js,2
keephq/keep,2
kewalaka/az-bootstrap,2
knavillus1/codex_bootstrap,4
konturio/disaster-ninja-be,2
konturio/disaster-ninja-fe,2
kotak-ai/1.58BitNet,1
krissen/pollenprognos-card,2
kyryl-opens-ml/ml-in-production-practice,2
kyryl-opens-ml/no-ocr,2
langbot-app/LangBot,2
langfuse/langfuse,3
lankz/JSON.bundle,1
leftouterjoins/podsumer,2
leoafarias/fvm,1
leonardsellem/n8n-mcp-server,2
lgallard/terraform-aws-ecr,4
lhl/strix-halo-testing,1
liam-hq/liam,3
lingodotdev/lingo.dev,1
liveblocks/liveblocks,2
ljt019/transformers,2
loculus-project/loculus,2
louistrue/ifc-flow,1
ltwlf/json-diff-ts,1
m1balcerak/EnergyMatching,1
machka-pasla/remnawave-tg-shop,1
macro-peg/macro_peg,2
marimo-team/marimo,2
marin-community/marin,4
mastra-ai/mastra,4
mattpocock/total-typescript-monorepo,1
mc-bench/mc-bench-frontend,1
mediar-ai/terminator,3
metacraft-labs/codetracer,4
microsoft/ApplicationInsights-JS,2
microsoft/ApplicationInsights-Java,2
microsoft/AzureTRE,2
microsoft/Generative-AI-for-beginners-dotnet,4
microsoft/Microsoft365DSC,3
microsoft/P.910,1
microsoft/WinUI-Gallery,1
microsoft/autogen,2
microsoft/ebpf-for-windows,1
microsoft/fabric-cicd,2
microsoft/finops-toolkit,4
microsoft/lisa,2
microsoft/onnxscript,2
microsoft/openvmm,2
microsoft/perfview,3
microsoft/poml,3
microsoft/simplechat,2
microsoft/testfx,2
microsoft/vcpkg,2
