repo,level,label,confidence,artifacts,tools,l2_primary,l3_primary,l4_primary
rsyslog,4,Agentic Orchestration,0.801,74,"github-copilot, shared",49,20,5
rtl_433_discoverandsubmit,1,Ad Hoc,1.0,1,,1,0,0
rust-fp,1,Ad Hoc,1.0,3,,2,1,0
ryos,2,Grounded Prompting,0.615,4,cursor,4,0,0
saga,4,Agentic Orchestration,0.599,18,claude-code,6,5,7
sailor,2,Grounded Prompting,0.44,2,shared,2,0,0
scripts,1,Ad Hoc,1.0,1,,1,0,0
scubaduck,2,Grounded Prompting,0.615,2,shared,2,0,0
seccomp-diff,1,Ad Hoc,1.0,449,,318,104,27
seedsigner,3,Agent-Augmented,0.74,31,github-copilot,21,10,0
sentry,4,Agentic Orchestration,0.769,47,"claude-code, cursor, github-copilot, shared",26,11,10
sentry-mcp,4,Agentic Orchestration,0.756,43,"claude-code, cursor, shared",14,27,2
serde-yaml-bw,2,Grounded Prompting,0.615,2,shared,2,0,0
serviceradar,4,Agentic Orchestration,0.799,228,"github-copilot, shared",154,43,31
shotbuddy,3,Agent-Augmented,0.527,4,shared,3,1,0
simple-3d-svg,2,Grounded Prompting,0.557,3,claude-code,3,0,0
simplechat,4,Agentic Orchestration,0.776,136,github-copilot,78,36,22
skip-go,3,Agent-Augmented,0.704,9,shared,8,1,0
skyvern,4,Agentic Orchestration,0.755,30,"claude-code, shared",14,13,3
slack-channels-grouping,1,Ad Hoc,1.0,46,,39,3,4
smart-recipe-generator,3,Agent-Augmented,0.71,7,shared,5,2,0
soba,1,Ad Hoc,1.0,3,,3,0,0
specmatic,3,Agent-Augmented,0.56,7,github-copilot,6,1,0
spectest,1,Ad Hoc,1.0,1,,0,1,0
spyder_okvim,1,Ad Hoc,1.0,3,,1,2,0
sqlmap-command-builder,1,Ad Hoc,1.0,1,,1,0,0
sqlrooms,4,Agentic Orchestration,0.807,60,shared,45,8,7
statsig-io__docs,2,Grounded Prompting,0.44,1,github-copilot,1,0,0
steam-microtransaction-api,1,Ad Hoc,1.0,3,,1,2,0
stevehansen__csv,2,Grounded Prompting,0.56,7,"claude-code, shared",7,0,0
strix-halo-testing,1,Ad Hoc,1.0,31,,8,17,6
sub-tools,2,Grounded Prompting,0.557,3,"claude-code, shared",3,0,0
swarmauri-sdk,4,Agentic Orchestration,0.718,450,"github-copilot, shared",354,72,24
tabstronaut,1,Ad Hoc,1.0,1,,0,1,0
taxonium,4,Agentic Orchestration,0.726,17,shared,16,0,1
terminator,4,Agentic Orchestration,0.794,34,"claude-code, cursor, github-copilot",13,17,4
terraform-aws-ecr,4,Agentic Orchestration,0.754,37,"claude-code, github-copilot",32,3,2
test-driven-spring-boot,2,Grounded Prompting,0.44,2,shared,2,0,0
test-infra,4,Agentic Orchestration,0.838,52,github-copilot,45,2,5
testfx,4,Agentic Orchestration,0.771,55,github-copilot,32,22,1
thinkthread,1,Ad Hoc,1.0,4,,0,4,0
timburgan,1,Ad Hoc,1.0,1,,0,1,0
tinygrad,3,Agent-Augmented,0.736,53,shared,18,35,0
tools,1,Ad Hoc,1.0,160,,96,44,20
total-typescript-monorepo,4,Agentic Orchestration,0.803,641,"claude-code, cursor",547,72,22
towns,4,Agentic Orchestration,0.77,32,"claude-code, github-copilot, shared",19,9,4
training-center-microservices,1,Ad Hoc,1.0,22,,13,7,2
transformers,4,Agentic Orchestration,0.38,3,shared,2,0,1
transqlate,2,Grounded Prompting,0.557,3,shared,3,0,0
tsce_demo,1,Ad Hoc,1.0,13,,12,1,0
tscircuit.com,2,Grounded Prompting,0.58,5,claude-code,5,0,0
tuber,2,Grounded Prompting,0.597,8,"claude-code, github-copilot",8,0,0
typewriter.nvim,3,Agent-Augmented,0.557,3,shared,2,1,0
vagasExplorer,1,Ad Hoc,1.0,1,,1,0,0
vald,4,Agentic Orchestration,0.757,108,github-copilot,74,28,6
vcpkg,3,Agent-Augmented,0.677,18,github-copilot,12,6,0
vellum-python-sdks,1,Ad Hoc,1.0,19,,9,8,2
vibe-check-mcp-server,4,Agentic Orchestration,0.702,20,shared,7,7,6
vibekit,3,Agent-Augmented,0.56,7,github-copilot,6,1,0
vimms,1,Ad Hoc,1.0,39,,28,9,2
vivainsights,4,Agentic Orchestration,0.71,41,github-copilot,10,6,25
vlmrun-hub,1,Ad Hoc,1.0,16,,6,10,0
vlmrun-node-sdk,3,Agent-Augmented,0.44,4,claude-code,2,2,0
vlmrun-python-sdk,1,Ad Hoc,1.0,2,,2,0,0
vscode,4,Agentic Orchestration,0.78,113,github-copilot,83,18,12
vscode-demo-time,4,Agentic Orchestration,0.798,151,github-copilot,108,40,3
vscode-pull-request-github,3,Agent-Augmented,0.627,9,github-copilot,6,3,0
vscode-python-environments,4,Agentic Orchestration,0.683,17,github-copilot,10,4,3
vstest,4,Agentic Orchestration,0.804,66,github-copilot,48,15,3
waldzell-mcp,1,Ad Hoc,1.0,16,,8,7,1
wavesurfer.js,3,Agent-Augmented,0.66,7,"github-copilot, shared",6,1,0
weblorean,1,Ad Hoc,1.0,1,,1,0,0
whoisdigger,4,Agentic Orchestration,0.588,9,shared,6,2,1
wine_variety_classification,1,Ad Hoc,1.0,2,,0,2,0
wolfssl,3,Agent-Augmented,0.869,142,github-copilot,109,33,0
xmysql-server,1,Ad Hoc,1.0,203,,95,100,8
ydb-embedded-ui,2,Grounded Prompting,0.685,8,"claude-code, github-copilot, shared",8,0,0
yiiframework.com,3,Agent-Augmented,0.81,7,github-copilot,6,1,0
your-priorities-app,4,Agentic Orchestration,0.786,1159,"github-copilot, shared",779,249,131
yt-dlp-translate,1,Ad Hoc,1.0,1,,1,0,0
z3,4,Agentic Orchestration,0.717,26,github-copilot,15,8,3
zod,3,Agent-Augmented,0.58,5,"claude-code, cursor, shared",4,1,0
