repo,level,label,confidence,artifacts,tools,l2_primary,l3_primary,l4_primary
docs,4,Agentic Orchestration,0.793,13991,github-copilot,10061,3605,325
docusaurus-openapi-docs,3,Agent-Augmented,0.527,4,shared,3,1,0
dotabod__frontend,4,Agentic Orchestration,0.781,24,"claude-code, cursor",15,6,3
dotfiles,1,Ad Hoc,1.0,1,,1,0,0
dotnet__docs,4,Agentic Orchestration,0.793,13991,github-copilot,10061,3605,325
draftnrun,1,Ad Hoc,1.0,7,,2,3,2
dspy,4,Agentic Orchestration,0.798,123,github-copilot,68,49,6
dust,4,Agentic Orchestration,0.807,29,"github-copilot, jetbrains-ai",20,8,1
ebpf-for-windows,4,Agentic Orchestration,0.718,36,github-copilot,16,18,2
edumips64,3,Agent-Augmented,0.58,10,github-copilot,6,4,0
edwin,1,Ad Hoc,1.0,4,,2,2,0
elics,4,Agentic Orchestration,0.715,13,github-copilot,10,2,1
elixir_sense,1,Ad Hoc,1.0,1,,0,1,0
elsa-core,4,Agentic Orchestration,0.759,29,github-copilot,16,4,9
elsa-extensions,1,Ad Hoc,1.0,12,,9,1,2
em,3,Agent-Augmented,0.803,11,github-copilot,10,1,0
enhanced-dash-mcp,4,Agentic Orchestration,0.68,14,shared,6,6,2
eno,1,Ad Hoc,1.0,9,,4,1,4
enrichmcp,3,Agent-Augmented,0.767,33,"github-copilot, shared",13,20,0
ens-app-v3,4,Agentic Orchestration,0.602,16,claude-code,4,10,2
enviodev__docs,1,Ad Hoc,1.0,373,,264,65,44
epicshop,3,Agent-Augmented,0.667,16,shared,8,8,0
ev-node,4,Agentic Orchestration,0.806,94,"claude-code, github-copilot",66,19,9
events-tracker,4,Agentic Orchestration,0.644,11,shared,4,4,3
everblock,1,Ad Hoc,1.0,2,,0,2,0
everpsblog,1,Ad Hoc,1.0,1,,0,1,0
ex_fix,1,Ad Hoc,1.0,3,,0,3,0
extending-move,3,Agent-Augmented,0.72,5,shared,3,2,0
f1_sensor,1,Ad Hoc,1.0,17,,10,3,4
fabric-cicd,3,Agent-Augmented,0.755,20,github-copilot,18,2,0
fastml,1,Ad Hoc,1.0,2,,1,1,0
fastproto,1,Ad Hoc,1.0,17,,14,3,0
fiber,4,Agentic Orchestration,0.762,75,"github-copilot, shared",42,32,1
figma-plugin,4,Agentic Orchestration,0.796,24,"claude-code, github-copilot",16,7,1
finops-toolkit,4,Agentic Orchestration,0.769,194,"claude-code, github-copilot",78,112,4
firebase-orm,1,Ad Hoc,1.0,28,,8,15,5
flynt,2,Grounded Prompting,0.44,3,shared,3,0,0
footprinter,1,Ad Hoc,1.0,1,,1,0,0
foundation,2,Grounded Prompting,0.527,4,"github-copilot, shared",4,0,0
fp-growth,2,Grounded Prompting,0.44,1,shared,1,0,0
fromthepage,3,Agent-Augmented,0.641,8,github-copilot,6,2,0
frontend,4,Agentic Orchestration,0.781,24,"claude-code, cursor",15,6,3
functionalscript,4,Agentic Orchestration,0.804,82,shared,71,10,1
fvm,3,Agent-Augmented,0.841,22,github-copilot,19,3,0
galah,1,Ad Hoc,1.0,4,,2,2,0
gameserver,1,Ad Hoc,1.0,1,,0,1,0
gemini-tts-cli,3,Agent-Augmented,0.767,15,"claude-code, gemini-cli, github-copilot",12,3,0
genomics_adventure,1,Ad Hoc,1.0,38,,26,12,0
gensx,4,Agentic Orchestration,0.736,49,"claude-code, cursor, github-copilot",31,10,8
geph5,1,Ad Hoc,1.0,7,,6,1,0
giro,1,Ad Hoc,1.0,1,,1,0,0
giselle,4,Agentic Orchestration,0.799,54,"claude-code, cursor, github-copilot, shared",39,14,1
glaredb,4,Agentic Orchestration,0.8,84,github-copilot,68,13,3
glimpser,4,Agentic Orchestration,0.81,57,shared,22,20,15
glues,2,Grounded Prompting,0.733,21,shared,21,0,0
gluesql,4,Agentic Orchestration,0.813,197,shared,179,11,7
go-openai,3,Agent-Augmented,0.58,5,github-copilot,3,2,0
go-utcp,1,Ad Hoc,1.0,6,,4,2,0
goat,3,Agent-Augmented,0.728,94,github-copilot,28,66,0
gobatch,2,Grounded Prompting,0.527,4,"claude-code, shared",4,0,0
gofiber__cli,3,Agent-Augmented,0.726,12,"github-copilot, shared",11,1,0
google-sheets-project,2,Grounded Prompting,0.557,3,github-copilot,3,0,0
google-sheets-tabs-on-top,1,Ad Hoc,1.0,1,,1,0,0
gosn-v2,1,Ad Hoc,1.0,3,,2,1,0
granola-ts-client,2,Grounded Prompting,0.597,8,"claude-code, github-copilot, shared",8,0,0
graphai,1,Ad Hoc,1.0,166,,107,35,24
graphic-walker,1,Ad Hoc,1.0,4,,3,1,0
graphserver,1,Ad Hoc,1.0,2,,2,0,0
gregory-ai,4,Agentic Orchestration,0.76,35,"claude-code, github-copilot",17,11,7
grida,4,Agentic Orchestration,0.803,351,"github-copilot, shared",291,54,6
herbie,2,Grounded Prompting,0.702,4,shared,4,0,0
hlda,1,Ad Hoc,1.0,1,,1,0,0
home-lab-as-code,2,Grounded Prompting,0.685,6,shared,6,0,0
home_assistant_delonghi_primadonna,1,Ad Hoc,1.0,2,,2,0,0
hyperlight,3,Agent-Augmented,0.788,33,github-copilot,30,3,0
iceshelf,1,Ad Hoc,1.0,13,,12,1,0
ifc-flow,1,Ad Hoc,1.0,6,,4,1,1
inference,4,Agentic Orchestration,0.759,167,shared,90,60,17
insta,3,Agent-Augmented,0.685,6,github-copilot,2,4,0
instructor,4,Agentic Orchestration,0.724,283,"claude-code, cursor, github-copilot",67,212,4
iris-client,3,Agent-Augmented,0.755,10,claude-code,8,2,0
iwrqk,1,Ad Hoc,1.0,4,,4,0,0
jBow,1,Ad Hoc,1.0,1,,0,1,0
jacquez,1,Ad Hoc,1.0,1,,1,0,0
java-util,3,Agent-Augmented,0.607,13,"github-copilot, shared",7,6,0
jetplot,4,Agentic Orchestration,0.601,13,shared,12,0,1
jlcsearch,1,Ad Hoc,1.0,91,,29,62,0
jonaraphael__csv,3,Agent-Augmented,0.44,4,shared,2,2,0
js,3,Agent-Augmented,0.777,22,"claude-code, cursor, github-copilot, shared",15,7,0
json-diff-ts,1,Ad Hoc,1.0,1,,1,0,0
jsonriver,1,Ad Hoc,1.0,1,,1,0,0
julep,4,Agentic Orchestration,0.748,86,"claude-code, github-copilot, shared",37,26,23
keep,3,Agent-Augmented,0.834,38,"cursor, github-copilot",30,8,0
klongpy,4,Agentic Orchestration,0.755,20,shared,7,11,2
klooie,1,Ad Hoc,1.0,27,,19,5,3
labs,4,Agentic Orchestration,0.77,96,"claude-code, shared",25,66,5
lana-bank,4,Agentic Orchestration,0.764,49,"claude-code, cursor",26,14,9
langfuse,4,Agentic Orchestration,0.765,79,"claude-code, cursor, github-copilot, shared",34,42,3
laser_slicer,4,Agentic Orchestration,0.59,5,shared,4,0,1
lazyrecon_docker,1,Ad Hoc,1.0,1,,1,0,0
liam,4,Agentic Orchestration,0.779,98,"claude-code, github-copilot, shared",28,64,6
lingo.dev,1,Ad Hoc,1.0,12,,10,2,0
lisa,4,Agentic Orchestration,0.52,5,github-copilot,4,0,1
litellm,4,Agentic Orchestration,0.755,667,"claude-code, gemini-cli, github-copilot, shared",395,262,10
liveblocks,4,Agentic Orchestration,0.837,101,"claude-code, github-copilot",81,17,3
loculus,4,Agentic Orchestration,0.781,88,"claude-code, gemini-cli, github-copilot, shared",69,14,5
lofn,3,Agent-Augmented,0.44,2,shared,1,1,0
lotgd,3,Agent-Augmented,0.73,22,"github-copilot, shared",15,7,0
macro_peg,2,Grounded Prompting,0.44,3,shared,3,0,0
magento2-playwright,3,Agent-Augmented,0.44,2,shared,1,1,0
magisk-samsung-dex-standalone-mode,1,Ad Hoc,1.0,3,,3,0,0
maia-platform-frontend,3,Agent-Augmented,0.568,6,claude-code,3,3,0
marimo,4,Agentic Orchestration,0.788,271,"cursor, github-copilot",193,68,10
marin,4,Agentic Orchestration,0.735,238,"github-copilot, shared",83,112,43
mastra,4,Agentic Orchestration,0.825,814,"claude-code, cursor, github-copilot, windsurf",560,154,100
maui,4,Agentic Orchestration,0.732,102,github-copilot,60,37,5
mc-bench-frontend,1,Ad Hoc,1.0,3,,1,2,0
mcp,4,Agentic Orchestration,0.783,310,github-copilot,185,122,3
mcp-server,3,Agent-Augmented,0.65,10,"cursor, github-copilot",6,4,0
memoChron,1,Ad Hoc,1.0,2,,0,1,1
messagehub,1,Ad Hoc,1.0,14,,7,2,5
meta-agent,4,Agentic Orchestration,0.75,21,"amp, shared",12,6,3
